task name,random seed,sample count,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10
sort_list_indices_length4_mnist,3177,1,0.048,0.066,0.066,0.066,0.066,0.066,0.068,0.066,0.066,0.066,10.3358,6.6169,6.4537,6.6273,6.8721,6.7749,6.7634,8.4976,6.6985,7.2885
sort_list_indices_length4_mnist,5848,1,0.026,0.048,0.054,0.056,0.078,0.078,0.078,0.078,0.078,0.078,12.3851,6.5851,7.6775,7.2388,8.654,6.7646,8.7005,8.2956,8.1636,7.26
sort_list_indices_length4_mnist,9175,1,0.058,0.036,0.042,0.068,0.068,0.074,0.068,0.068,0.068,0.068,11.1047,8.4499,7.0651,8.4226,7.2119,8.4261,6.6781,7.2902,7.117,7.2262
sort_list_indices_length4_mnist,8725,1,0.042,0.07,0.064,0.048,0.054,0.054,0.062,0.074,0.074,0.074,10.4413,7.6717,6.7422,7.7154,6.8372,7.5004,6.9982,10.1842,6.9619,7.4549
sort_list_indices_length4_mnist,1234,1,0.05,0.064,0.066,0.066,0.066,0.066,0.066,0.066,0.098,0.072,11.3058,7.4163,7.7084,7.3827,6.954,7.6938,7.3423,7.8621,6.7309,7.9712
sort_list_indices_length4_mnist,3177,100,0.706,0.806,0.844,0.842,0.864,0.858,0.862,0.88,0.886,0.888,62.2299,60.8799,59.6941,58.8089,58.6387,58.3012,60.9627,58.5417,58.3426,60.5241
sort_list_indices_length4_mnist,5848,100,0.634,0.772,0.798,0.802,0.836,0.85,0.842,0.832,0.856,0.854,67.8178,58.7018,62.1464,62.3197,66.0903,63.3138,59.5344,58.2645,59.0451,64.2695
sort_list_indices_length4_mnist,9175,100,0.668,0.778,0.786,0.812,0.818,0.804,0.818,0.812,0.822,0.814,68.0119,60.7259,60.3729,60.3186,54.7022,60.8161,60.9383,62.3933,63.9384,63.2566
sort_list_indices_length4_mnist,8725,100,0.674,0.744,0.788,0.788,0.856,0.87,0.888,0.894,0.892,0.894,65.6617,58.1592,65.5721,66.4011,63.2571,64.4876,62.4355,62.9417,60.5896,61.8201
sort_list_indices_length4_mnist,1234,100,0.752,0.836,0.858,0.936,0.948,0.94,0.956,0.946,0.95,0.95,70.7981,64.4353,65.4604,64.6732,59.3242,63.9638,64.1451,65.0692,62.4338,62.9241
sort_list_indices_length4_mnist,3177,500,0.718,0.752,0.796,0.806,0.844,0.858,0.874,0.88,0.882,0.854,265.103,268.6019,265.3832,259.2111,268.4734,263.973,266.0254,259.3859,257.4044,259.2548
sort_list_indices_length4_mnist,5848,500,0.676,0.782,0.792,0.816,0.814,0.822,0.844,0.838,0.832,0.844,270.0497,301.617,294.9452,289.6356,260.7286,259.127,264.6386,259.8403,268.5667,269.4419
sort_list_indices_length4_mnist,9175,500,0.702,0.782,0.81,0.822,0.836,0.848,0.872,0.836,0.838,0.838,270.7332,263.7868,262.3177,264.3335,261.537,262.1678,263.5737,260.5032,258.5944,259.797
sort_list_indices_length4_mnist,8725,500,0.648,0.752,0.788,0.796,0.812,0.782,0.82,0.802,0.812,0.802,262.3659,255.6626,258.9088,259.2871,276.9122,266.0952,267.1294,267.3688,269.4688,270.6445
sort_list_indices_length4_mnist,1234,500,0.692,0.788,0.86,0.9,0.89,0.924,0.892,0.888,0.894,0.906,279.0215,275.667,267.1994,266.8751,268.6003,271.4513,266.9371,265.1999,267.9961,265.8527
